id,disease_id,specialty_id
511,9,10
512,10,10
513,2,6
514,11,28
516,3,15
517,4,27
519,24,8
520,8,5
521,16,10
522,6,17
523,28,12
524,17,10
525,21,11
526,31,10
527,15,27
528,26,18
530,35,18
531,40,28
532,33,10
533,34,9
534,44,21
535,36,28
536,45,10
537,51,10
538,47,9
539,77,17
540,61,15
541,43,10
542,54,10
543,56,18
544,52,28
545,62,26
546,83,10
547,59,9
548,70,6
549,53,26
550,74,21
551,68,23
552,63,9
553,75,26
554,69,9
555,66,23
556,76,19
557,85,23
558,72,28
559,79,26
560,78,20
561,89,26
562,81,9
563,91,5
564,101,28
565,94,28
566,86,5
567,87,23
568,100,28
569,90,10
570,92,21
571,103,9
572,102,4
573,95,28
575,107,28
576,99,9
578,114,23
579,106,6
580,117,18
581,108,26
582,119,15
583,129,9
584,120,9
585,130,4
586,121,23
587,112,25
588,113,8
589,123,23
590,115,28
591,126,23
592,136,23
593,116,26
594,125,6
595,124,26
596,127,9
597,137,4
598,128,26
599,132,9
600,142,20
601,133,4
602,139,20
603,149,15
604,194,28
606,151,9
607,135,15
608,148,25
609,154,26
610,155,27
611,323,28
612,144,28
613,156,20
615,160,27
616,169,20
617,161,17
619,175,28
620,166,6
622,187,26
623,188,6
624,192,6
625,185,17
626,197,26
627,207,26
628,198,26
629,214,23
630,203,26
631,205,28
632,221,10
633,625,9
634,226,17
635,222,27
636,231,26
637,224,17
638,220,9
639,234,9
640,238,4
641,259,10
642,252,20
643,241,26
644,251,15
645,258,21
646,256,25
647,253,20
648,269,5
649,254,2
650,263,15
651,257,9
652,268,28
653,262,27
654,272,8
655,271,28
656,228,21
657,283,8
658,489,2
659,275,16
660,285,12
661,276,23
662,287,26
663,277,23
664,286,15
665,273,28
666,284,3
667,280,29
668,298,21
669,281,10
670,290,9
671,295,19
672,296,23
673,294,10
674,304,23
675,307,28
676,317,21
677,312,3
678,313,28
679,302,10
680,311,21
681,318,16
682,314,21
683,315,25
684,325,23
685,316,3
686,326,28
687,329,17
688,330,23
689,322,26
690,321,19
691,337,10
692,347,17
694,348,6
695,333,19
696,343,23
697,334,8
698,344,6
699,352,6
700,339,9
701,349,10
702,335,26
703,345,26
705,340,26
706,350,6
707,357,10
708,341,20
709,351,8
710,356,6
711,358,10
712,359,15
713,360,10
714,368,26
715,372,28
716,363,28
718,377,10
719,361,6
720,380,15
721,373,26
722,376,15
723,378,21
724,390,26
725,381,23
726,392,28
727,400,28
728,382,6
729,391,16
730,379,6
731,388,6
732,386,25
733,387,5
734,397,23
735,425,10
736,383,23
737,394,16
738,389,28
739,402,26
740,424,5
741,393,12
742,403,21
743,396,2
744,405,10
746,408,19
747,399,25
748,409,5
749,398,25
750,414,5
751,407,11
753,427,10
754,412,21
757,426,16
759,431,21
760,428,6
761,419,26
763,423,6
764,435,27
765,429,26
766,439,20
767,433,26
768,443,24
769,434,21
770,444,4
771,436,6
772,445,6
773,432,20
774,442,9
776,438,15
777,447,6
778,440,9
779,448,4
780,451,2
781,461,4
782,463,25
783,478,21
784,454,23
785,465,9
786,457,5
787,468,26
788,462,26
789,472,6
790,459,6
791,470,16
792,464,15
794,469,2
795,473,6
796,483,6
797,476,6
798,475,25
799,484,15
800,492,26
801,477,6
802,589,12
803,487,25
804,490,20
805,502,23
806,497,26
807,493,28
808,491,21
809,499,5
810,510,9
811,494,26
812,504,23
813,495,20
814,505,6
815,496,28
816,507,26
817,498,26
818,509,26
819,501,21
820,511,21
821,512,26
822,520,17
823,513,23
824,521,26
825,506,20
826,517,6
827,515,9
828,524,10
829,530,12
830,526,12
831,522,21
832,518,25
833,523,10
834,531,4
835,529,12
836,541,12
837,604,21
838,532,12
839,542,12
840,559,12
841,534,12
842,545,12
843,544,18
844,538,12
845,570,12
846,549,12
847,536,5
848,546,12
849,543,12
850,553,12
851,537,12
852,547,12
853,540,12
854,548,12
855,560,12
856,551,5
857,561,21
858,552,26
859,562,12
860,555,12
861,564,12
862,577,12
863,554,12
864,566,12
865,574,12
866,556,12
867,565,27
868,576,3
869,558,12
870,568,12
871,557,12
872,569,18
873,563,12
874,573,12
875,567,21
876,579,12
877,571,12
878,578,27
879,572,12
880,582,26
704,353,11
881,585,12
882,580,12
883,588,12
884,581,9
885,590,12
886,584,6
887,595,23
888,586,12
889,587,12
890,597,15
891,591,12
892,601,30
893,592,18
894,602,18
895,603,20
896,598,15
897,608,25
898,610,9
899,615,23
900,607,8
901,609,15
902,618,26
903,612,14
904,617,28
905,626,25
906,611,21
907,622,25
908,635,18
909,616,6
910,629,9
911,650,21
912,631,3
913,624,3
914,636,10
915,627,9
916,634,20
917,644,3
918,628,21
919,637,3
920,630,15
921,638,9
922,633,23
923,643,15
925,632,23
926,642,25
927,666,16
928,639,9
929,645,15
930,640,9
931,649,16
932,658,26
933,641,5
935,646,9
936,656,9
937,647,9
939,648,9
940,660,21
941,670,15
942,652,25
943,662,3
944,653,6
945,663,9
946,654,9
947,655,26
948,665,21
949,659,28
950,667,15
951,668,15
952,680,26
953,673,2
954,681,26
955,674,13
956,683,9
957,675,26
958,687,21
959,676,10
960,685,25
961,678,21
962,686,23
963,677,6
964,679,9
965,688,26
966,449,28
967,7,10
968,456,9
970,5,28
971,450,23
972,453,23
973,441,17
974,29,18
976,619,9
977,20,10
978,606,18
979,19,8
980,18,15
981,46,10
982,599,15
983,131,10
984,274,23
985,446,10
986,467,23
987,118,9
988,110,8
989,111,5
990,593,15
991,613,21
992,42,10
993,64,28
994,528,12
995,98,28
996,525,12
997,385,28
998,420,10
999,410,10
1000,500,26
1001,482,10
1002,697,15
1003,458,30
1004,621,10
1005,583,12
1006,623,10
1007,600,15
1008,293,23
1009,332,23
1011,481,30
1012,471,2
1013,508,27
1014,516,23
1015,533,12
1016,527,12
1017,575,12
1018,614,18
1019,696,26
1020,691,30
1021,374,25
1022,374,11
515,12,11
518,14,11
529,32,11
574,97,11
577,105,11
605,141,11
614,162,11
618,164,11
621,176,11
693,328,11
745,417,11
752,415,11
755,413,11
756,416,11
758,418,11
762,430,11
775,452,11
793,474,11
924,661,11
934,651,11
938,657,11
969,411,11
975,605,11
1010,406,11
